"Entrez_ID","Control","Aldo","Fine","Spiro","Aldo_Fine","Aldo_Spiro","HGNC Symbol"
441932,0,0,0,0,0,0,"OR2W5P"
148823,0,2,1,0,3,4,"GCSAML"
148824,0,0,0,0,0,0,"OR2C3"
81472,0,0,0,0,0,0,"OR2C3"
81470,0,0,0,0,0,0,"OR2G2"
81469,0,0,0,0,0,0,"OR2G3"
441933,0,0,0,0,0,0,"OR13G1"
343169,0,0,0,0,0,0,"OR6F1"
26188,0,0,0,0,0,0,"OR1C1"
284532,1,0,0,0,0,0,"OR14A16"
391189,1,1,0,0,0,0,"OR11L1"
25893,0,0,1,0,0,1,"TRIM58"
343171,1,0,0,1,0,0,"OR2W3"
343172,2,2,4,3,3,0,"OR2T8"
284521,0,0,0,0,0,0,"OR2L13"
391190,0,0,0,0,0,0,"OR2L8"
391191,0,0,0,0,0,0,"OR2AK2"
26247,0,0,0,0,0,2,"OR2L1P"
81466,0,0,0,0,0,0,"OR2L5"
26246,0,0,0,0,0,0,"OR2L2"
391192,0,0,0,0,0,0,"OR2L3"
388762,0,0,0,0,0,0,"OR2M1P"
127059,0,0,0,0,0,0,"OR2M5"
391194,0,0,0,0,0,0,"OR2M2"
127062,0,0,0,0,0,0,"OR2M3"
26245,2,1,1,0,0,1,"OR2M4"
391195,0,0,1,1,1,0,"OR2T33"
127064,0,0,0,0,0,0,"OR2T12"
391196,0,0,0,0,0,0,"OR2M7"
127066,0,0,0,0,0,0,"OR14C36"
127074,0,0,0,0,0,0,"OR2T4"
254879,0,0,0,0,0,0,"OR2T6"
26696,0,0,0,0,0,0,"OR2T1"
401992,0,0,0,0,0,0,"OR2T2"
343173,0,0,0,0,0,0,"OR2T3"
401993,0,0,0,0,0,0,"OR2T5"
391211,0,0,0,0,0,0,"OR2G6"
343563,0,0,0,0,0,0,"OR2T29"
127068,1,0,0,0,0,0,"OR2T34"
127069,0,0,0,0,0,0,"OR2T10"
127077,0,0,0,0,0,0,"OR2T11"
403244,0,0,0,0,0,0,"OR2T35"
403239,0,0,0,0,0,0,"OR2T27"
401994,1,1,0,1,0,3,"OR14I1"
101928226,0,0,0,0,0,0,NA
646627,276,241,252,263,246,207,"LYPD8"
80851,12617,9930,10471,9729,9974,9805,"SH3BP5L"
100422879,12,15,11,13,15,6,"MIR3124"
79894,9571,6998,7574,7110,7137,6875,"ZNF672"
55657,4127,2768,4568,3735,3900,2787,"ZNF692"
267002,2583,1959,2378,2048,2074,1987,"PGBD2"
100189199,0,0,0,0,0,0,NA
100189409,2,1,0,1,0,0,NA
102723376,0,0,0,0,0,0,NA
347688,1,0,0,1,2,5,"TUBB8"
10771,13660,10978,11413,10630,10513,10812,"ZMYND11"
22982,2918,2527,2621,2427,2505,2503,"DIP2C"
100847086,0,0,1,0,0,0,"MIR5699"
414235,0,1,1,0,0,1,NA
105376339,1,0,0,0,0,0,NA
23185,13502,11105,11725,10790,11184,11492,"LARP4B"
101927762,12,3,4,1,0,5,"LARP4B-DT"
105376341,4,8,9,7,7,3,NA
23560,16150,12255,12875,12143,11709,12196,"GTPBP4"
91734,480,329,360,280,311,337,"IDI2"
55853,133,86,170,143,159,108,"IDI2-AS1"
102723422,44,14,20,30,35,30,NA
3422,22470,17808,17010,17943,17345,17136,"IDI1"
22884,4190,3308,3628,3273,3322,3197,"WDR37"
399706,0,0,0,0,0,0,NA
105,1,0,0,0,0,0,"ADARB2"
642394,0,0,0,0,0,0,"ADARB2-AS1"
282980,0,0,1,0,0,0,NA
102465944,0,0,0,0,0,0,"MIR6072"
399708,0,0,0,0,0,0,NA
105376351,0,0,0,0,0,0,NA
101927824,41,21,16,20,29,20,NA
5214,36066,29383,29752,27679,28901,28431,"PFKP"
10531,11131,9176,9824,9093,9147,8970,"PITRM1"
100507034,252,211,281,238,275,223,"PITRM1-AS1"
105376353,2,1,0,3,0,1,NA
105376501,0,0,1,0,3,1,NA
1316,17291,16549,14408,13979,14569,14118,"KLF6"
102464829,0,0,0,0,0,0,"MIR6078"
101927964,0,0,0,0,0,0,NA
100652988,86,95,96,87,68,65,NA
100507059,0,0,0,0,0,0,"LINC00703"
100216001,79,123,61,48,63,61,"MANCR"
338588,4,2,1,3,5,1,NA
83592,15,6,6,8,8,4,"AKR1E2"
389932,2,0,0,1,1,0,NA
1645,158,87,106,90,82,100,"AKR1C1"
1646,19,8,18,9,16,12,"AKR1C2"
8644,995,688,749,599,665,776,"AKR1C3"
340811,2,0,2,0,1,0,"AKR1C8"
1109,6,1,6,2,3,0,"AKR1C4"
114131,0,0,0,0,0,0,"UCN3"
79861,3,1,4,2,3,2,"TUBAL3"
10276,9663,7322,7816,6995,6842,7420,"NET1"
51806,0,0,0,0,0,1,"CALML5"
100132159,3,1,2,3,2,1,NA
810,0,0,0,0,0,0,"CALML3"
79754,2850,2186,2322,2145,2168,2212,"ASB13"
54906,24662,22073,23027,20894,20563,21822,"TASOR2"
2665,33875,27423,27374,25862,25503,26641,"GDI2"
100189342,0,0,0,0,0,0,NA
54522,436,366,442,383,383,369,"ANKRD16"
84893,9623,7687,8135,7554,7634,7679,"FBH1"
3601,581,404,423,408,399,424,"IL15RA"
3559,0,1,2,0,0,0,"IL2RA"
84991,15028,11298,12146,11501,10871,11329,"RBM17"
5209,4948,3894,4161,4101,3985,3947,"PFKFB3"
100422989,0,0,0,0,0,0,"MIR3155A"
100628560,0,0,0,0,0,0,"MIR3155B"
399715,6,6,9,6,5,7,"LINC02649"
5588,5,4,3,2,2,1,"PRKCQ"
439949,9,10,10,6,10,15,"PRKCQ-AS1"
101928150,0,0,0,0,0,0,NA
100652997,6,2,2,4,1,3,"LINC00706"
100507127,100,72,72,69,58,78,"LINC00707"
57713,3561,3107,3340,3039,3150,3136,"SFMBT2"
80760,20,19,20,28,18,8,"ITIH5"
3698,6,4,11,7,8,5,"ITIH2"
22944,3297,2456,2708,2465,2455,2409,"KIN"
509,22449,16699,16774,15860,15639,16472,"ATP5F1C"
83860,4079,3133,3656,3393,3409,3388,"TAF3"
2625,1257,898,978,888,935,890,"GATA3"
105376502,5,7,7,6,8,5,NA
399717,25,20,29,25,21,22,"GATA3-AS1"
100507143,0,0,0,0,0,0,"LINC00708"
101928272,1,1,3,1,0,0,NA
100507163,0,0,0,0,0,0,NA
101928298,0,0,0,0,0,0,"LINC02670"
101928322,0,0,0,0,0,0,NA
207107,679,514,600,477,531,526,"SFTA1P"
254312,0,0,0,1,0,0,NA
10659,17,8,19,18,14,15,"CELF2"
439950,0,0,1,0,0,0,NA
414196,0,0,0,0,0,0,"CELF2-AS1"
9712,5145,3989,4338,4122,4115,4103,"USP6NL"
79746,0,0,0,0,0,0,"ECHDC3"
254427,1852,1901,1381,1390,1462,1366,"PROSER2"
219731,18,13,22,14,22,16,"PROSER2-AS1"
26019,12042,10061,10136,9468,9355,9741,"UPF2"
55526,5075,4291,4507,4104,4261,4199,"DHTKD1"
55176,2354,1803,2120,1929,1907,1709,"SEC61A2"
100616488,0,0,0,0,0,0,"MIR548AK"
11164,10825,8057,8573,8164,7976,8028,"NUDT5"
8872,13459,10318,10230,9693,9652,10098,"CDC123"
57118,1506,1187,1344,1250,1279,1328,"CAMK1D"
100616151,0,0,0,0,0,0,"MIR4480"
100616320,0,0,0,0,0,0,"MIR4481"
100313841,0,0,0,0,0,0,"MIR548Q"
83643,41,23,35,21,14,26,"CCDC3"
10133,24791,19084,19791,18645,18272,19283,"OPTN"
55388,11182,8694,9539,8838,8709,8955,"MCM10"
221044,0,0,0,0,0,0,"UCMA"
5264,4020,3034,3092,2865,2869,3145,"PHYH"
22929,13473,10283,10600,10019,10190,10334,"SEPHS1"
222389,4918,3421,4296,3881,3642,3782,"BEND7"
8559,3503,2752,2791,2604,2523,2702,"PRPF18"
55691,8681,6413,7533,7232,7248,6886,"FRMD4A"
101928453,22,20,27,18,24,29,NA
100422843,0,0,0,0,0,0,"MIR4293"
100302116,0,0,0,0,0,0,"MIR1265"
83641,28290,19085,22341,21230,20058,21539,"FAM107B"
441549,80,71,81,63,59,53,"CDNF"
51182,12438,9560,10063,9304,9205,9624,"HSPA14"
79723,7755,5959,6033,5698,5591,5980,"SUV39H2"
64421,4967,3700,4258,3871,3823,3795,"DCLRE1C"
644890,13,16,10,23,9,8,"MEIG1"
105376432,0,0,0,2,0,0,NA
55301,3,5,3,1,4,3,"OLAH"
414149,214,156,147,146,170,136,"ACBD7"
221060,18,10,21,11,19,16,"RPP38-DT"
10557,2668,1976,2039,1864,1796,1960,"RPP38"
9397,7844,5407,6265,5868,5778,6148,"NMT2"
100192204,9,4,7,6,3,5,NA
221061,4339,3130,3390,3164,3350,3232,"FAM171A1"
8516,0,0,2,1,0,2,"ITGA8"
80013,5022,3971,4397,3900,4072,3935,"MINDY3"
9317,3788,3016,3121,2939,2875,3183,"PTER"
389941,30,28,33,24,33,31,"C1QL3"
101928701,2,5,5,6,3,1,NA
6251,13560,10407,10803,10214,10113,10594,"RSU1"
8029,86,63,69,72,57,71,"CUBN"
1787,1168,935,1004,901,858,884,"TRDMT1"
100507347,160,127,116,105,128,92,"VIM-AS1"
7431,130147,98914,104666,97352,94892,98762,"VIM"
338596,72,83,81,67,78,73,"ST8SIA6"
100128098,0,0,0,0,0,0,"ST8SIA6-AS1"
9200,2739,2015,2121,1963,1905,1945,"HACD1"
102723166,100,71,122,108,124,67,"STAM-DT"
8027,6810,5002,5693,5281,4958,5301,"STAM"
653567,51,40,36,29,39,34,"TMEM236"
4360,7,3,10,7,0,7,"MRC1"
574445,0,0,0,0,0,0,"MIR511"
221074,0,0,0,0,0,0,"SLC39A12"
100129213,0,0,0,0,0,0,"SLC39A12-AS1"
783,128,124,141,92,122,98,"CACNB2"
221078,1876,1380,1648,1504,1473,1394,"NSUN6"
221079,14805,12470,13585,12098,11498,12783,"ARL5B"
340895,21,16,22,15,15,18,"MALRD1"
101928834,0,0,0,0,0,0,""
84898,1245,979,1047,919,1007,931,"PLXDC2"
100616383,0,0,0,0,0,0,"MIR4675"
10529,403,397,383,331,341,306,"NEBL"
387638,1,0,1,0,0,0,NA
100128511,0,0,0,1,1,2,NA
100302741,0,0,0,0,0,0,NA
399726,957,642,717,631,620,582,"MIR1915HG"
100302129,1,0,2,1,1,0,"MIR1915"
387640,300,261,269,225,245,223,"SKIDA1"
8028,5944,5111,5333,4887,4857,4706,"MLLT10"
64215,5823,4378,4737,4307,4236,4478,"DNAJC1"
340900,8,1,6,7,0,2,"EBLN1"
100189083,0,0,0,0,1,0,NA
100130992,412,344,347,341,353,312,NA
23412,2595,1754,1967,1742,1768,1866,"COMMD3"
100532731,0,0,0,0,0,0,"COMMD3-BMI1"
648,240,216,167,185,194,178,"BMI1"
9576,4,2,1,2,2,1,"SPAG6"
100499489,277,183,176,182,198,180,NA
5305,6398,5246,5263,4834,4952,5131,"PIP4K2A"
219681,15,17,13,14,17,19,"ARMC3"
22921,1321,946,963,849,836,888,"MSRB2"
256297,0,0,0,0,0,0,"PTF1A"
256815,76,57,65,54,57,56,"C10orf67"
387642,0,0,0,0,0,0,NA
100616217,0,0,0,0,0,0,NA
220213,1804,1420,1492,1444,1341,1371,"OTUD1"
56243,5781,3751,5682,5083,4845,4736,"KIAA1217"
693188,0,0,0,0,0,0,"MIR603"
57584,12635,11157,11680,10562,10729,10718,"ARHGAP21"
56952,4270,3305,3451,3119,3303,3224,"PRTFDC1"
219670,21,21,30,30,32,25,"ENKUR"
79896,1258,997,988,911,935,997,"THNSL1"
101929025,1,0,1,2,0,0,NA
100128811,0,0,0,0,0,0,"GPR158-AS1"
57512,27,14,23,22,14,22,"GPR158"
101929052,9,2,2,4,2,4,"LINC00836"
101929073,0,0,0,0,0,0,NA
53904,3,1,0,3,1,2,"MYO3A"
2572,0,0,0,0,0,0,"GAD2"
54518,2061,1466,1649,1549,1460,1429,"APBB1IP"
645528,0,0,0,0,0,1,"FAM238A"
731789,2,0,3,2,0,3,NA
23590,1366,1077,1191,1086,1030,1001,"PDSS1"
10006,9829,7773,8156,7570,7267,7562,"ABI1"
387644,54,44,81,33,65,37,"FAM238C"
22852,6000,5039,5632,5267,4925,4878,"ANKRD26"
10730,39236,31542,31513,29413,28915,30915,"YME1L1"
84930,11050,9111,9436,8874,8556,8831,"MASTL"
91452,9885,8033,8298,7611,7630,7828,"ACBD5"
387646,8,6,3,9,5,9,NA
101060171,0,0,0,0,0,0,NA
101929180,0,0,0,0,0,0,NA
374308,0,0,0,0,0,0,"PTCHD3"
22931,16077,12752,12897,11671,11558,11934,"RAB18"
283078,646,435,509,518,471,427,"MKX"
101929202,0,1,3,1,2,0,NA
55130,1071,825,880,781,808,826,"ODAD2"
143098,1718,1259,1405,1277,1205,1312,"MPP7"
102465880,0,0,0,0,0,0,"MIR8086"
220906,2700,1980,2174,2017,1954,1992,NA
51322,29389,23879,24797,22711,21771,23127,"WAC"
25805,1687,1156,1381,1266,1163,1364,"BAMBI"
101929218,0,0,1,0,0,0,NA
100507605,0,0,0,0,0,0,"LINC00837"
283080,0,1,2,1,0,2,"LINC01517"
84569,0,0,0,0,0,0,"LYZL1"
102724316,3542,2873,2932,2672,2675,2707,""
6840,7934,6650,7115,6841,6842,6958,"SVIL"
693189,0,0,0,0,0,0,"MIR604"
100126327,0,0,0,0,0,0,"MIR938"
102724333,0,0,0,0,0,0,NA
57608,8050,6830,7131,6603,6500,7030,"JCAD"
101929256,6,4,8,7,4,5,NA
101929279,0,1,1,1,0,0,NA
55149,5561,4032,4370,4204,4032,4104,"MTPAP"
729668,1,0,1,2,2,5,NA
102466227,0,0,0,0,0,0,"MIR7162"
1326,1171,752,1242,1066,1033,923,"MAP3K8"
119180,0,0,0,0,0,0,"LYZL2"
645954,19,14,17,25,14,15,NA
220929,771,593,593,573,592,575,"ZNF438"
220930,518,306,429,376,383,331,"ZEB1-AS1"
6935,4628,3926,3949,3826,3668,3923,"ZEB1"
100505502,1,0,1,0,1,1,NA
94134,6537,5397,5644,5057,5037,5219,"ARHGAP12"
3799,57634,48492,49794,46270,45052,48001,"KIF5B"
80314,4936,4139,4480,3960,3945,4145,"EPC1"
102031319,5,3,0,1,2,1,NA
101929431,9,6,9,5,9,8,NA
79741,535,378,494,402,407,406,"CCDC7"
3688,119548,100925,99831,93827,90556,98281,"ITGB1"
8829,18681,14493,15815,15296,14602,14879,"NRP1"
100505583,0,0,0,0,0,0,"LINC00838"
56288,15053,12036,12411,11791,11661,12213,"PARD3"
100505601,13,5,15,12,22,11,NA
8453,13543,10135,10773,10110,9841,10363,"CUL2"
100500890,0,0,0,0,0,0,"MIR3611"
1390,2972,2247,2239,2133,2031,2243,"CREM"
219771,14073,11642,11078,10734,10498,10693,"CCNY"
219770,2,1,2,3,2,0,"GJD4"
8325,213,175,180,170,191,179,"FZD8"
100616500,0,0,0,0,0,0,"MIR4683"
102578074,0,1,0,0,0,0,"PCAT5"
91074,0,2,4,4,1,0,"ANKRD30A"
101929520,0,0,0,0,1,0,NA
100288485,0,0,0,0,0,0,NA
57209,4337,3380,4020,3578,3588,3157,"ZNF248"
100419868,0,1,0,0,2,1,NA
219749,1699,1328,1498,1328,1378,1374,"ZNF25"
7581,9277,7750,8787,7736,7848,7438,"ZNF33A"
7587,10621,9265,9732,8956,8910,9212,"ZNF37A"
100129055,7,0,2,3,3,4,NA
158160,862,505,785,776,725,536,"HSD17B7P2"
285961,23,14,25,18,15,19,"SEPTIN7P9"
399744,381,271,337,283,285,263,NA
399746,0,0,0,0,0,0,NA
101929373,0,0,0,0,0,0,NA
441666,494,387,448,408,345,418,""
414194,35,12,23,21,23,21,""
84856,1035,733,908,806,817,796,"LINC00839"
100129482,5277,3993,5500,4682,4846,3888,"ZNF37BP"
7582,5451,4643,5110,4452,4594,4476,"ZNF33B"
101929397,40,31,45,38,46,43,"LINC01518"
9790,22445,17907,19224,17672,17410,18146,"BMS1"
101929445,0,0,0,1,0,2,"LINC02623"
104266963,0,0,0,0,0,0,"LINC01264"
100847014,0,0,0,0,0,0,"MIR5100"
5979,15,11,6,6,10,2,"RET"
55454,7461,5976,6690,6047,5775,5900,"CSGALNACT2"
221002,51,37,52,46,66,54,"RASGEF1A"
53828,3,0,0,0,0,2,"FXYD4"
3185,91568,71583,73175,67710,68033,71200,"HNRNPF"
642819,278,247,186,190,211,214,"ZNF487"
8187,1648,1257,1556,1335,1324,1221,"ZNF239"
220992,775,622,673,557,573,578,"ZNF485"
414201,3,3,0,1,3,1,"ZNF32-AS3"
7580,3173,2372,2422,2308,2258,2144,"ZNF32"
414197,37,29,41,41,28,17,"ZNF32-AS1"
414208,84,56,98,75,99,61,"ZNF32-AS2"
10151,90,63,51,55,61,83,NA
414260,17,19,8,7,13,7,NA
100506835,8,7,8,7,3,4,"LINC00840"
283033,0,0,0,0,0,0,NA
100130539,16,11,17,14,12,7,"LINC02881"
6387,209,133,148,124,142,168,"CXCL12"
220980,10,2,2,5,1,1,"TMEM72-AS1"
643236,2,0,2,2,1,2,"TMEM72"
83937,1200,1219,1112,955,1019,886,"RASSF4"
11067,269,218,203,210,217,180,"DEPP1"
220979,1109,861,916,818,806,815,"ZNF22-AS1"
7570,9956,7648,8017,7282,7403,7723,"ZNF22"
100133308,0,0,0,0,0,0,NA
338579,0,0,0,1,0,0,NA
100422988,0,0,0,0,0,0,"MIR3156-1"
105378283,0,0,0,0,0,0,NA
79290,0,0,0,0,0,0,"OR13A1"
240,0,0,0,0,1,0,"ALOX5"
102724323,0,0,0,0,0,0,""
220972,767,787,724,695,726,740,"MARCHF8"
93550,1307,1010,1104,1000,1034,1027,"ZFAND4"
253725,8974,7520,8070,7163,7406,7289,"WASHC2C"
119016,166,117,190,177,171,143,"AGAP4"
728407,373,290,483,333,373,431,NA
100287932,14652,10754,11054,10440,10265,10688,"TIMM23"
8031,62642,49585,50869,47408,46588,49613,"NCOA4"
4477,2,3,1,1,1,2,"MSMB"
653268,102,79,106,96,109,76,NA
100996567,0,0,0,0,0,0,NA
105378577,7,6,10,9,9,8,NA
195977,10,17,11,11,10,11,"ANTXRL"
100132929,0,0,0,0,0,0,NA
728113,992,815,862,768,1118,837,"ANXA8L1"
643650,158,136,133,108,125,118,"LINC00842"
728643,35,31,22,30,25,32,"HNRNPA1P33"
5540,29,37,25,24,31,21,"NPY4R"
9721,123,119,107,97,120,103,"GPRIN2"
83849,61,32,58,30,51,34,"SYT15"
414241,180,129,143,133,105,103,NA
414212,3,3,7,3,2,4,""
399761,259,181,340,254,275,205,""
728798,0,1,0,0,0,0,NA
26095,4,5,5,6,6,4,"PTPN20"
2662,0,0,0,0,0,0,"GDF10"
2658,0,0,0,0,0,0,"GDF2"
5949,3,6,1,8,4,1,"RBP3"
118738,514,407,429,398,443,396,"ZNF488"
653145,949,847,815,804,857,758,"ANXA8"
100133093,0,0,0,0,0,0,"FAM25G"
642517,488,366,562,402,490,348,"AGAP9"
642826,244,174,291,207,214,181,NA
1517,0,1,1,0,0,0,""
439965,27,25,21,27,24,19,NA
102724593,7,5,7,2,7,3,"SYT15-AS1"
102724488,72,57,64,67,53,51,"SYT15B"
100996758,9,25,16,14,12,13,"NPY4R2"
644054,0,0,0,0,0,0,"FAM25C"
414224,9,5,7,1,7,5,""
143162,89,62,72,67,76,63,"FRMPD2"
5599,10974,8804,9455,8399,8445,8554,"MAPK8"
58504,430,299,345,309,330,314,"ARHGAP22"
57705,31,26,23,26,24,18,"WDFY4"
474354,0,1,0,3,0,0,"LRRC18"
100422895,0,0,0,0,0,0,"MIR4294"
196740,209,184,173,160,174,148,"VSTM4"
100506733,0,0,0,0,0,0,"FAM170B-AS1"
170370,0,0,2,0,0,1,"FAM170B"
170371,41,20,19,10,23,16,"TMEM273"
100506769,3,5,2,1,2,2,NA
118461,1,3,1,2,0,0,"C10orf71"
644168,593,385,375,417,394,389,"DRGX"
2074,9730,9236,9301,8427,8585,8415,"ERCC6"
267004,0,0,0,0,0,0,NA
101243544,46,42,52,39,34,41,NA
1103,49,44,36,61,46,37,"CHAT"
6572,0,0,0,0,1,0,"SLC18A3"
282966,0,0,0,0,0,0,"C10orf53"
55753,929,699,865,756,822,739,"OGDHL"
8505,6792,5454,5733,5260,5252,5496,"PARG"
100652748,928,730,933,832,785,755,"TIMM23B"
414189,1150,801,1363,966,1016,908,"AGAP6"
100421577,42,42,40,41,108,56,""
387680,10026,8266,8924,8305,8209,8235,"WASHC2A"
56624,319,237,308,196,209,244,"ASAH2"
259230,8255,8606,7017,6506,6443,6893,"SGMS1"
104355295,218,160,163,142,187,180,NA
653308,772,633,698,637,627,621,"ASAH2B"
29974,2,4,6,1,5,1,"A1CF"
5592,18,16,19,20,16,15,"PRKG1"
102724719,0,0,0,0,0,0,""
693190,0,0,0,0,0,0,"MIR605"
23283,8225,6441,6764,6372,6390,6415,"CSTF2T"
100506939,34,31,31,35,32,29,NA
22943,11847,9187,8584,8510,7918,8888,"DKK1"
101928687,119,95,83,107,119,113,"LNCAROD"
4153,1,0,1,0,1,0,"MBL2"
65217,6,6,4,1,6,2,"PCDH15"
100302192,0,0,0,0,0,0,"MIR548F1"
100463289,0,0,0,0,0,0,NA
11130,48746,36641,40057,36993,36318,35928,"ZWINT"
100500834,0,0,0,0,0,0,"MIR3924"
253430,5926,5006,5329,4979,4778,5149,"IPMK"
55847,6654,5085,4942,4779,4611,5023,"CISD1"
7321,9740,7984,7895,7506,6775,7448,"UBE2D1"
7019,34798,27614,28270,25975,25134,27389,"TFAM"
80114,21278,18091,18059,17535,17464,17785,"BICC1"
728640,33,22,24,16,23,32,NA
100507008,4,9,3,6,4,3,NA
84457,6,2,4,1,2,3,"PHYHIPL"
220965,179,155,162,139,172,142,"FAM13C"
220963,486,364,405,381,360,379,"SLC16A9"
100507027,5,3,4,7,7,5,"MRLN"
8030,17829,15448,14562,14128,13988,14578,"CCDC6"
283025,0,0,1,0,0,0,"LINC01553"
288,3222,3065,2837,2730,2824,2756,"ANK3"
983,58043,44796,45873,42382,40877,43015,"CDK1"
9886,1481,1266,1153,1156,1230,1119,"RHOBTB1"
100507058,1,1,0,1,0,0,"LINC00845"
219623,149,107,119,112,123,112,"TMEM26"
101928781,6,4,4,3,4,3,NA
219621,1,2,4,4,5,6,"CABCOCO1"
84159,7062,7065,6329,6157,6519,6042,"ARID5B"
219790,5528,4962,4993,4451,4572,4586,"RTKN2"
283045,0,1,0,0,1,1,""
22891,1350,1608,1034,1028,1112,1113,"ZNF365"
84890,12068,8942,9408,8637,8267,8901,"ADO"
1959,141,80,119,104,113,100,"EGR2"
29982,5166,4046,4147,3830,3769,4072,"NRBF2"
221037,16267,14185,16358,14972,14901,14439,"JMJD1C"
100302150,0,0,1,0,1,0,"MIR1296"
84989,109,78,64,67,64,78,"JMJD1C-AS1"
221035,30011,24824,25061,23679,22938,24249,"REEP3"
305,43,30,23,33,31,48,NA
101928887,0,0,3,2,2,2,"LINC02671"
101928913,252,232,263,245,216,225,NA
29119,73,61,64,54,64,68,"CTNNA3"
101928961,0,0,0,0,0,0,NA
347731,28,13,16,11,18,19,"LRRTM3"
102466814,0,0,0,0,0,0,"MIR7151"
100189279,0,0,0,0,1,0,NA
56521,919,654,670,663,617,670,"DNAJC12"
23411,15780,12825,13318,12189,11920,12581,"SIRT1"
26091,12782,10058,10916,9852,9907,10322,"HERC4"
84665,202,232,184,162,172,139,"MYPN"
220202,22,14,19,29,14,18,"ATOH7"
64081,1492,1151,1269,1208,1143,1164,"PBLD"
3189,45654,35781,36481,35130,33503,35376,"HNRNPH3"
55680,5721,4810,5126,4624,4618,4498,"RUFY2"
1763,10987,8339,9808,8655,8704,8586,"DNA2"
8034,2582,1997,2237,1975,1956,1935,"SLC25A16"
80312,900,821,856,815,819,802,"TET1"
55749,27600,22379,25586,22281,22019,22177,"CCAR1"
692211,3,12,4,3,7,10,"SNORD98"
100302273,30,21,42,33,18,17,NA
219736,1574,1382,1386,1149,1215,1258,"STOX1"
79009,15327,11754,12344,11290,11063,12066,"DDX50"
9188,68001,54865,57221,53006,50832,55282,"DDX21"
26128,16876,13471,13540,12309,12139,12808,"KIFBP"
5552,36908,30158,28222,26806,26196,27901,"SRGN"
9559,37629,30286,29752,27843,27162,29073,"VPS26A"
6832,7304,5662,5918,5672,5524,5601,"SUPV3L1"
101928994,33,36,31,39,37,20,""
80201,3114,2103,2700,2534,2563,2242,"HKDC1"
3098,23927,19227,20110,18988,18905,18876,"HK1"
6865,25,23,30,23,26,23,"TACR2"
23555,6113,4605,4788,4414,4605,4417,"TSPAN15"
50674,0,0,0,0,2,1,"NEUROG3"
219738,2101,1468,1655,1550,1566,1457,"FAM241B"
1305,2810,2095,2338,2122,2204,2152,"COL13A1"
55506,7387,5530,5813,5477,5602,5610,"MACROH2A2"
84883,6044,4459,4576,4315,4687,4337,"AIFM2"
219743,2606,1936,2163,2036,2089,1862,"TYSND1"
56681,40212,32033,32015,30192,29133,31956,"SAR1A"
5464,25269,19903,18829,18054,17426,18394,"PPA1"
64106,1,1,0,0,0,1,"NPFFR1"
55222,5631,4411,4470,4121,4432,4342,"LRRC20"
1979,28182,23385,24587,22293,22179,23165,"EIF4EBP2"
4838,23,12,19,19,10,11,"NODAL"
27143,654,587,546,497,555,517,"PALD1"
5551,9,3,6,4,9,3,"PRF1"
140766,1003,1042,1016,899,1067,777,"ADAMTS14"
219793,1,4,3,2,0,2,"TBATA"
8879,20056,17360,17221,16388,16412,16396,"SGPL1"
5092,16018,11668,11765,11188,11401,11527,"PCBD1"
219699,361,299,399,349,314,357,"UNC5B"
728978,57,68,49,46,40,43,"UNC5B-AS1"
55315,1011,950,908,747,837,815,"SLC29A3"
64072,21,13,14,15,13,12,"CDH23"
102723377,0,0,0,0,0,0,NA
414152,12,2,13,9,16,7,"C10orf105"
64115,4332,2975,3140,2967,3054,2895,"VSIR"
102465689,0,0,0,0,0,0,"MIR7152"
5660,158971,125033,127043,120322,123662,124971,"PSAP"
9469,12397,10318,10368,10043,10006,9988,"CHST3"
9806,114,115,145,130,141,93,"SPOCK2"
51008,7462,5876,5846,5493,5697,5735,"ASCC1"
119504,15664,11530,11892,11166,11313,11550,"ANAPC16"
54541,24682,20622,19893,19541,21385,20351,"DDIT4"
54788,14490,12303,12181,11481,12229,11765,"DNAJB12"
10367,15146,11970,12645,12056,11612,11783,"MICU1"
90550,14078,10770,11511,10474,10576,11050,"MCU"
100616286,0,0,0,0,0,0,"MIR4676"
170392,11,11,18,6,7,7,"OIT3"
84647,1,2,1,2,0,3,"PLA2G12B"
5033,19979,15330,15966,15165,14750,15532,"P4HA1"
25961,616,435,577,511,491,424,"NUDT13"
11319,10746,8151,8505,7970,8064,8132,"ECD"
317662,3032,2560,2841,2502,2487,2442,"FAM149B1"
23234,23826,18186,18834,16985,17091,18007,"DNAJC9"
414245,193,138,211,166,175,147,"DNAJC9-AS1"
414245,193,138,211,166,175,147,""
51021,20502,14733,15212,14137,14714,14603,"MRPS16"
118491,288,230,306,237,267,234,"CFAP70"
310,29575,23103,23474,22195,21805,22914,"ANXA7"
118490,250,173,272,203,199,154,"MSS51"
5532,11712,9158,9924,9215,8836,9209,"PPP3CB"
159195,6590,5642,6471,5796,5732,5579,"USP54"
58529,58,42,36,35,50,40,"MYOZ1"
79933,25,36,32,30,29,35,"SYNPO2L"
729092,283,150,263,225,248,221,"AGAP5"
729096,688,507,831,679,707,522,""
2749,307,242,436,338,358,199,"GLUD1P3"
9632,28966,23109,26648,24036,24685,23068,"SEC24C"
170384,6172,3870,4387,3915,3884,3814,"FUT11"
118487,7079,5066,4911,4699,4631,5101,"CHCHD1"
23053,12263,10000,12830,11087,11867,10119,"ZSWIM8"
100507331,129,80,128,110,131,87,"ZSWIM8-AS1"
8509,4726,3741,4449,4081,4284,3728,"NDST2"
